Experiment,Parameter,Value,RMSE,MAPE,DA
WindowLength,window_length,16,59.00310456079188,3.4209477276367686,50.67567567567568
WindowLength,window_length,32,110.61655324622781,6.177357321050014,56.08108108108109
WindowLength,window_length,64,123.84804944485691,7.086399037721325,54.391891891891895
ForecastHorizon,forecast_horizon,1,78.32336835744356,4.711698176631906,54.0
ForecastHorizon,forecast_horizon,5,87.6913359315541,5.274692182494657,54.729729729729726
ForecastHorizon,forecast_horizon,10,168.72754529028322,9.897688590410532,50.85910652920962
ForecastHorizon,forecast_horizon,20,216.02900251923296,12.948932139598224,55.871886120996436
FeatureSet,feature_set,A,75.85810501969556,4.296529218122342,51.01351351351351
FeatureSet,feature_set,B,73.74718930435837,4.2683173413791575,53.37837837837838
FeatureSet,feature_set,C,75.8242932669269,4.436027597656848,54.729729729729726
